date,code,name,qty,price,pnl,ccy
2026-03-16,TDOC,Teladoc Health,1.0,5.4,0.78,USD
2026-03-16,TDOC,Teladoc Health,6.0,5.4,4.68,USD
2026-03-16,GLD,黄金ETF-SPDR,27.0,462.0,4212.0,USD
2026-03-16,GLD,黄金ETF-SPDR,15.0,462.6,2349.0,USD
2026-03-20,GLD,黄金ETF-SPDR,18.0,433.5,2295.0,USD
2026-03-20,GLD,黄金ETF-SPDR,15.0,434.7,1930.5,USD
2026-03-24,GLD,黄金ETF-SPDR,25.0,418.0,478.21,USD
2026-03-24,GLD,黄金ETF-SPDR,10.0,420.18,-406.06,USD
2026-03-24,GLD,黄金ETF-SPDR,7.0,422.2,-270.1,USD
2026-03-31,GLD,黄金ETF-SPDR,4.0,431.0,-119.14,USD
2026-04-01,ADBE,Adobe,10.0,240.53,38.3,USD
2026-04-09,SQQQ,三倍做空纳指ETF-ProShares,30.0,70.08,25.6,USD
2026-04-09,SQQQ,三倍做空纳指ETF-ProShares,30.0,70.28,46.0,USD
2026-04-09,ADBE,Adobe,10.0,229.88,-53.2,USD
2026-04-09,ADBE,Adobe,30.0,229.88,43.9,USD
2026-04-09,SQQQ,三倍做空纳指ETF-ProShares,80.0,68.04,-14.4,USD
2026-04-10,ADBE,Adobe,10.0,227.0,-7.8,USD
2026-04-13,ADBE,Adobe,5.0,234.2,44.0,USD
2026-04-14,IQ,爱奇艺,1000.0,1.42,-114.0,USD
2026-04-15,ADBE,Adobe,5.0,245.4,100.0,USD
2026-09-03,SQQQ,三倍做空纳指ETF-ProShares,1.0,38.42,-29.38,USD
2026-09-03,SQQQ,三倍做空纳指ETF-ProShares,49.0,38.42,-1432.62,USD
2026-09-14,IQ,爱奇艺,1000.0,1.02,-355.0,USD
2026-09-17,IQ,爱奇艺,500.0,1.15,50.0,USD
